,年月,customer_id,count_pred,count_0,count_1,count_2,count_3,count_4,count_5,start_date,now_date,period
1215,201810,IK042838,10,8.0,7.0,6.0,7.0,9.0,10.0,2018-04-04,2018-10-01,5
1220,201810,IK057216,4,3.0,4.0,4.0,6.0,9.0,11.0,2018-04-11,2018-10-01,5
1223,201810,IK059828,3,5.0,4.0,4.0,6.0,5.0,9.0,2018-04-01,2018-10-01,6
1230,201810,IK082424,4,5.0,7.0,7.0,7.0,9.0,8.0,2018-04-14,2018-10-01,5
1258,201810,IK190403,2,5.0,3.0,4.0,8.0,8.0,6.0,2018-04-07,2018-10-01,5
1315,201810,IK403801,3,6.0,2.0,3.0,7.0,5.0,8.0,2018-04-05,2018-10-01,5
1317,201810,IK407687,3,3.0,3.0,7.0,7.0,6.0,6.0,2018-04-03,2018-10-01,5
1319,201810,IK429268,6,7.0,10.0,7.0,8.0,9.0,7.0,2018-04-06,2018-10-01,5
1320,201810,IK430848,2,3.0,2.0,4.0,7.0,7.0,7.0,2018-04-14,2018-10-01,5
1337,201810,IK491887,2,3.0,5.0,6.0,7.0,7.0,9.0,2018-04-08,2018-10-01,5
1346,201810,IK528327,2,3.0,4.0,3.0,6.0,6.0,8.0,2018-04-01,2018-10-01,6
1368,201810,IK584824,8,8.0,5.0,7.0,8.0,9.0,5.0,2018-04-08,2018-10-01,5
1386,201810,IK642724,5,3.0,2.0,9.0,8.0,9.0,5.0,2018-04-15,2018-10-01,5
1389,201810,IK654848,2,5.0,2.0,3.0,6.0,7.0,6.0,2018-04-04,2018-10-01,5
1392,201810,IK661529,4,7.0,5.0,8.0,6.0,7.0,6.0,2018-04-01,2018-10-01,6
1397,201810,IK679682,6,3.0,4.0,5.0,5.0,7.0,7.0,2018-04-05,2018-10-01,5
1403,201810,IK697935,2,4.0,4.0,6.0,7.0,7.0,8.0,2018-04-09,2018-10-01,5
1408,201810,IK704656,6,8.0,8.0,8.0,9.0,6.0,6.0,2018-04-13,2018-10-01,5
1425,201810,IK761631,3,1.0,5.0,4.0,7.0,5.0,7.0,2018-04-13,2018-10-01,5
1429,201810,IK782104,6,8.0,4.0,5.0,7.0,9.0,7.0,2018-04-02,2018-10-01,5
1458,201810,IK881709,3,3.0,5.0,7.0,7.0,1.0,9.0,2018-04-01,2018-10-01,6
1460,201810,IK884794,3,4.0,4.0,5.0,6.0,8.0,6.0,2018-04-10,2018-10-01,5
1490,201810,IK988092,3,5.0,5.0,7.0,7.0,5.0,10.0,2018-04-11,2018-10-01,5
1498,201810,OA004129,6,9.0,8.0,8.0,8.0,10.0,9.0,2018-04-13,2018-10-01,5
1515,201810,OA057953,9,8.0,7.0,8.0,9.0,9.0,6.0,2018-04-08,2018-10-01,5
1543,201810,OA157445,3,4.0,2.0,3.0,6.0,7.0,8.0,2018-04-01,2018-10-01,6
1563,201810,OA245976,5,2.0,3.0,2.0,5.0,7.0,5.0,2018-04-15,2018-10-01,5
1614,201810,OA396855,4,2.0,5.0,4.0,6.0,8.0,7.0,2018-04-13,2018-10-01,5
1618,201810,OA405652,4,4.0,4.0,6.0,4.0,8.0,8.0,2018-04-15,2018-10-01,5
1644,201810,OA472503,5,3.0,1.0,9.0,8.0,6.0,8.0,2018-04-08,2018-10-01,5
1648,201810,OA484337,4,7.0,3.0,4.0,7.0,10.0,8.0,2018-04-13,2018-10-01,5
1667,201810,OA546913,4,3.0,5.0,5.0,9.0,9.0,8.0,2018-04-04,2018-10-01,5
1694,201810,OA663815,5,4.0,2.0,4.0,6.0,5.0,9.0,2018-04-04,2018-10-01,5
1700,201810,OA680638,1,6.0,6.0,4.0,5.0,8.0,9.0,2018-04-11,2018-10-01,5
1701,201810,OA694533,9,7.0,6.0,8.0,8.0,10.0,9.0,2018-04-08,2018-10-01,5
1709,201810,OA710903,2,5.0,7.0,7.0,4.0,9.0,8.0,2018-04-15,2018-10-01,5
1725,201810,OA761455,4,2.0,3.0,4.0,6.0,8.0,8.0,2018-04-09,2018-10-01,5
1772,201810,OA897552,1,2.0,1.0,5.0,5.0,8.0,9.0,2018-04-12,2018-10-01,5
1794,201810,OA973146,6,4.0,2.0,3.0,5.0,6.0,7.0,2018-04-11,2018-10-01,5
1808,201810,PL012044,6,9.0,8.0,9.0,8.0,7.0,9.0,2018-04-14,2018-10-01,5
1823,201810,PL064289,5,5.0,1.0,2.0,5.0,4.0,7.0,2018-04-15,2018-10-01,5
1872,201810,PL227814,7,9.0,6.0,9.0,10.0,7.0,9.0,2018-04-05,2018-10-01,5
1877,201810,PL248851,5,5.0,7.0,9.0,6.0,8.0,10.0,2018-04-03,2018-10-01,5
1892,201810,PL302535,9,8.0,6.0,7.0,10.0,12.0,9.0,2018-04-06,2018-10-01,5
1897,201810,PL320453,4,1.0,1.0,3.0,6.0,8.0,7.0,2018-04-01,2018-10-01,6
1917,201810,PL379434,1,1.0,3.0,5.0,3.0,7.0,8.0,2018-04-09,2018-10-01,5
1964,201810,PL542865,4,5.0,3.0,4.0,3.0,3.0,6.0,2018-04-09,2018-10-01,5
2009,201810,PL683089,3,2.0,4.0,5.0,5.0,7.0,9.0,2018-04-08,2018-10-01,5
2026,201810,PL745124,3,3.0,1.0,3.0,4.0,5.0,7.0,2018-04-13,2018-10-01,5
2060,201810,PL849292,3,4.0,6.0,6.0,6.0,8.0,8.0,2018-04-14,2018-10-01,5
2097,201810,PL930272,8,9.0,11.0,7.0,8.0,5.0,11.0,2018-04-01,2018-10-01,6
2109,201810,PL969360,8,6.0,6.0,9.0,8.0,7.0,8.0,2018-04-11,2018-10-01,5
2146,201810,TS075183,3,2.0,5.0,5.0,4.0,5.0,8.0,2018-04-12,2018-10-01,5
2156,201810,TS117409,2,3.0,3.0,5.0,4.0,11.0,8.0,2018-04-08,2018-10-01,5
2176,201810,TS174464,7,8.0,9.0,6.0,8.0,10.0,6.0,2018-04-11,2018-10-01,5
2321,201810,TS655367,4,2.0,3.0,2.0,6.0,7.0,7.0,2018-04-05,2018-10-01,5
2347,201810,TS763203,7,9.0,9.0,6.0,7.0,11.0,9.0,2018-04-13,2018-10-01,5
2388,201810,TS894938,4,5.0,2.0,2.0,7.0,6.0,8.0,2018-04-01,2018-10-01,6
2415,201810,TS977703,8,8.0,8.0,8.0,7.0,4.0,8.0,2018-04-15,2018-10-01,5
2425,201811,AS015233,7,7.0,9.0,11.0,5.0,7.0,7.0,2018-05-13,2018-11-01,5
2430,201811,AS025956,4,4.0,5.0,7.0,7.0,6.0,6.0,2018-05-09,2018-11-01,5
2431,201811,AS029624,6,4.0,1.0,5.0,7.0,5.0,8.0,2018-05-08,2018-11-01,5
2454,201811,AS100947,8,9.0,6.0,8.0,7.0,8.0,5.0,2018-05-12,2018-11-01,5
2460,201811,AS115149,3,2.0,1.0,3.0,7.0,7.0,6.0,2018-05-11,2018-11-01,5
2477,201811,AS185951,3,1.0,5.0,3.0,3.0,7.0,3.0,2018-04-09,2018-11-01,6
2482,201811,AS195052,1,2.0,3.0,4.0,4.0,3.0,8.0,2018-05-12,2018-11-01,5
2484,201811,AS197200,9,12.0,6.0,8.0,9.0,6.0,8.0,2018-04-15,2018-11-01,6
2485,201811,AS200286,3,3.0,6.0,3.0,6.0,6.0,7.0,2018-04-06,2018-11-01,6
2492,201811,AS220726,4,2.0,2.0,5.0,3.0,10.0,8.0,2018-05-12,2018-11-01,5
2499,201811,AS247467,5,1.0,1.0,4.0,7.0,9.0,3.0,2018-05-01,2018-11-01,6
2503,201811,AS251169,2,2.0,4.0,6.0,5.0,8.0,10.0,2018-04-03,2018-11-01,6
2527,201811,AS345469,5,1.0,3.0,5.0,6.0,5.0,4.0,2018-04-12,2018-11-01,6
2542,201811,AS388908,2,2.0,4.0,3.0,5.0,5.0,8.0,2018-05-11,2018-11-01,5
2548,201811,AS409779,2,3.0,3.0,4.0,8.0,6.0,9.0,2018-05-13,2018-11-01,5
2578,201811,AS509237,4,3.0,2.0,1.0,2.0,4.0,8.0,2018-04-06,2018-11-01,6
2587,201811,AS546422,3,1.0,5.0,7.0,4.0,10.0,8.0,2018-04-10,2018-11-01,6
2594,201811,AS557018,1,2.0,3.0,5.0,4.0,7.0,7.0,2018-05-06,2018-11-01,5
2602,201811,AS584134,3,5.0,4.0,6.0,2.0,5.0,8.0,2018-05-05,2018-11-01,5
2618,201811,AS628722,2,3.0,5.0,4.0,6.0,4.0,7.0,2018-04-15,2018-11-01,6
2623,201811,AS639549,2,4.0,2.0,2.0,3.0,5.0,9.0,2018-04-15,2018-11-01,6
2625,201811,AS645809,3,2.0,3.0,4.0,3.0,3.0,5.0,2018-04-06,2018-11-01,6
2647,201811,AS721170,1,1.0,1.0,2.0,5.0,6.0,6.0,2018-04-12,2018-11-01,6
2678,201811,AS814353,7,9.0,9.0,11.0,7.0,8.0,8.0,2018-05-05,2018-11-01,5
2680,201811,AS823436,4,6.0,3.0,1.0,6.0,7.0,5.0,2018-04-01,2018-11-01,7
2697,201811,AS886872,5,11.0,8.0,7.0,7.0,8.0,7.0,2018-04-12,2018-11-01,6
2730,201811,GD001932,2,7.0,6.0,7.0,6.0,8.0,10.0,2018-05-04,2018-11-01,5
2753,201811,GD082530,7,8.0,7.0,10.0,9.0,6.0,8.0,2018-05-13,2018-11-01,5
2759,201811,GD098851,2,7.0,5.0,6.0,9.0,6.0,7.0,2018-04-12,2018-11-01,6
2769,201811,GD115456,4,2.0,2.0,4.0,4.0,2.0,6.0,2018-04-05,2018-11-01,6
2788,201811,GD174951,5,3.0,4.0,4.0,4.0,6.0,9.0,2018-04-14,2018-11-01,6
2795,201811,GD203795,2,2.0,6.0,7.0,5.0,9.0,9.0,2018-05-09,2018-11-01,5
2797,201811,GD210507,5,3.0,5.0,6.0,7.0,6.0,6.0,2018-04-11,2018-11-01,6
2819,201811,GD289362,7,7.0,10.0,7.0,9.0,10.0,9.0,2018-05-04,2018-11-01,5
2825,201811,GD309433,3,2.0,2.0,5.0,9.0,8.0,4.0,2018-05-13,2018-11-01,5
2830,201811,GD325851,8,8.0,8.0,6.0,5.0,8.0,9.0,2018-04-13,2018-11-01,6
2863,201811,GD462507,6,3.0,4.0,5.0,6.0,8.0,10.0,2018-05-02,2018-11-01,5
2876,201811,GD523289,2,2.0,4.0,3.0,7.0,5.0,8.0,2018-05-15,2018-11-01,5
2883,201811,GD563242,4,4.0,7.0,11.0,9.0,8.0,10.0,2018-04-05,2018-11-01,6
2891,201811,GD594854,11,7.0,9.0,6.0,8.0,7.0,10.0,2018-05-15,2018-11-01,5
2904,201811,GD646501,2,2.0,4.0,4.0,5.0,6.0,5.0,2018-04-12,2018-11-01,6
2919,201811,GD700354,2,4.0,3.0,2.0,5.0,5.0,10.0,2018-05-05,2018-11-01,5
2925,201811,GD706415,3,4.0,2.0,3.0,5.0,7.0,7.0,2018-05-05,2018-11-01,5
2927,201811,GD716223,4,8.0,9.0,7.0,6.0,9.0,7.0,2018-04-15,2018-11-01,6
2940,201811,GD766769,2,3.0,5.0,7.0,4.0,7.0,9.0,2018-05-09,2018-11-01,5
2946,201811,GD797764,3,1.0,7.0,6.0,6.0,9.0,8.0,2018-05-02,2018-11-01,5
2956,201811,GD821903,7,8.0,9.0,9.0,9.0,7.0,11.0,2018-05-11,2018-11-01,5
2964,201811,GD862688,8,7.0,9.0,9.0,6.0,10.0,8.0,2018-05-08,2018-11-01,5
2976,201811,GD892565,5,8.0,8.0,9.0,7.0,10.0,9.0,2018-05-02,2018-11-01,5
2983,201811,GD913324,5,8.0,6.0,7.0,10.0,7.0,11.0,2018-05-05,2018-11-01,5
2986,201811,GD931906,4,1.0,5.0,6.0,4.0,9.0,10.0,2018-05-04,2018-11-01,5
3014,201811,HD032015,2,4.0,4.0,5.0,6.0,8.0,10.0,2018-04-14,2018-11-01,6
3029,201811,HD069655,3,3.0,5.0,3.0,7.0,4.0,5.0,2018-04-15,2018-11-01,6
3040,201811,HD104614,2,3.0,4.0,5.0,3.0,6.0,8.0,2018-04-15,2018-11-01,6
3055,201811,HD146199,10,9.0,7.0,7.0,8.0,9.0,9.0,2018-04-09,2018-11-01,6
3067,201811,HD187665,8,8.0,6.0,7.0,8.0,6.0,8.0,2018-05-15,2018-11-01,5
3077,201811,HD218970,3,3.0,4.0,4.0,4.0,5.0,7.0,2018-04-02,2018-11-01,6
3078,201811,HD221159,4,5.0,2.0,5.0,3.0,5.0,6.0,2018-05-06,2018-11-01,5
3094,201811,HD295608,3,3.0,1.0,4.0,3.0,4.0,8.0,2018-04-11,2018-11-01,6
3117,201811,HD351145,3,4.0,3.0,2.0,4.0,5.0,6.0,2018-04-04,2018-11-01,6
3128,201811,HD384128,6,9.0,9.0,7.0,9.0,9.0,8.0,2018-05-02,2018-11-01,5
3132,201811,HD402002,10,6.0,7.0,10.0,12.0,9.0,6.0,2018-04-13,2018-11-01,6
3138,201811,HD426886,9,7.0,9.0,11.0,8.0,8.0,8.0,2018-04-05,2018-11-01,6
3144,201811,HD443173,3,3.0,5.0,2.0,3.0,5.0,9.0,2018-05-14,2018-11-01,5
3153,201811,HD459890,3,3.0,2.0,3.0,6.0,5.0,9.0,2018-05-11,2018-11-01,5
3164,201811,HD487220,9,7.0,10.0,9.0,8.0,7.0,9.0,2018-05-11,2018-11-01,5
3175,201811,HD523855,4,4.0,6.0,5.0,7.0,8.0,7.0,2018-04-04,2018-11-01,6
3187,201811,HD571515,2,2.0,5.0,5.0,7.0,8.0,9.0,2018-04-15,2018-11-01,6
3192,201811,HD580454,6,7.0,5.0,11.0,10.0,9.0,7.0,2018-04-05,2018-11-01,6
3207,201811,HD634523,1,1.0,1.0,5.0,6.0,7.0,6.0,2018-04-13,2018-11-01,6
3220,201811,HD677310,2,4.0,4.0,4.0,3.0,6.0,4.0,2018-04-09,2018-11-01,6
3229,201811,HD707253,6,5.0,9.0,6.0,8.0,9.0,10.0,2018-05-06,2018-11-01,5
3244,201811,HD736119,7,4.0,5.0,7.0,9.0,9.0,8.0,2018-05-10,2018-11-01,5
3248,201811,HD743673,3,2.0,3.0,1.0,6.0,7.0,7.0,2018-05-14,2018-11-01,5
3251,201811,HD747321,4,7.0,4.0,6.0,6.0,9.0,8.0,2018-05-09,2018-11-01,5
3275,201811,HD805503,7,7.0,7.0,5.0,8.0,7.0,9.0,2018-05-01,2018-11-01,6
3279,201811,HD814444,7,9.0,6.0,6.0,10.0,6.0,8.0,2018-04-04,2018-11-01,6
3318,201811,HD944406,1,7.0,2.0,5.0,5.0,8.0,10.0,2018-05-11,2018-11-01,5
3324,201811,HD981197,1,4.0,3.0,3.0,6.0,7.0,7.0,2018-04-15,2018-11-01,6
3335,201811,HI013029,9,6.0,8.0,7.0,9.0,10.0,8.0,2018-05-10,2018-11-01,5
3346,201811,HI058807,8,6.0,5.0,9.0,10.0,8.0,10.0,2018-05-02,2018-11-01,5
3359,201811,HI103175,7,8.0,8.0,7.0,8.0,10.0,7.0,2018-05-15,2018-11-01,5
3367,201811,HI140097,1,5.0,4.0,5.0,6.0,8.0,7.0,2018-04-07,2018-11-01,6
3388,201811,HI181507,2,2.0,2.0,2.0,1.0,7.0,8.0,2018-05-11,2018-11-01,5
3401,201811,HI214680,1,2.0,4.0,7.0,5.0,8.0,9.0,2018-05-08,2018-11-01,5
3428,201811,HI302801,4,2.0,1.0,4.0,3.0,8.0,9.0,2018-04-05,2018-11-01,6
3438,201811,HI331377,9,9.0,7.0,8.0,8.0,7.0,7.0,2018-04-11,2018-11-01,6
3451,201811,HI367242,7,6.0,8.0,7.0,8.0,9.0,10.0,2018-04-07,2018-11-01,6
3452,201811,HI368031,10,9.0,8.0,3.0,8.0,8.0,8.0,2018-04-03,2018-11-01,6
3453,201811,HI372505,5,8.0,3.0,4.0,7.0,7.0,10.0,2018-05-01,2018-11-01,6
3467,201811,HI402688,2,3.0,6.0,6.0,5.0,6.0,7.0,2018-04-12,2018-11-01,6
3479,201811,HI446535,2,8.0,7.0,6.0,7.0,7.0,6.0,2018-05-05,2018-11-01,5
3488,201811,HI474778,6,6.0,7.0,9.0,5.0,10.0,8.0,2018-05-04,2018-11-01,5
3518,201811,HI562740,7,10.0,9.0,7.0,6.0,7.0,8.0,2018-05-06,2018-11-01,5
3522,201811,HI570258,4,2.0,4.0,2.0,5.0,5.0,6.0,2018-04-11,2018-11-01,6
3526,201811,HI575026,8,7.0,7.0,8.0,6.0,9.0,10.0,2018-05-05,2018-11-01,5
3531,201811,HI596179,1,1.0,4.0,3.0,3.0,4.0,5.0,2018-04-06,2018-11-01,6
3533,201811,HI599889,8,8.0,6.0,8.0,6.0,8.0,6.0,2018-04-13,2018-11-01,6
3538,201811,HI606358,1,6.0,5.0,1.0,3.0,4.0,8.0,2018-04-14,2018-11-01,6
3543,201811,HI630247,9,7.0,6.0,8.0,9.0,10.0,8.0,2018-05-01,2018-11-01,6
3574,201811,HI732386,3,4.0,4.0,7.0,6.0,5.0,10.0,2018-05-13,2018-11-01,5
3599,201811,HI823009,4,1.0,4.0,2.0,2.0,7.0,7.0,2018-05-09,2018-11-01,5
3603,201811,HI841207,2,3.0,2.0,3.0,7.0,9.0,6.0,2018-05-15,2018-11-01,5
3610,201811,HI866614,8,8.0,8.0,7.0,8.0,9.0,11.0,2018-05-01,2018-11-01,6
3651,201811,IK000432,3,5.0,4.0,7.0,8.0,11.0,6.0,2018-05-01,2018-11-01,6
3660,201811,IK009011,1,3.0,6.0,6.0,8.0,7.0,9.0,2018-05-11,2018-11-01,5
3667,201811,IK026319,3,4.0,5.0,6.0,7.0,5.0,8.0,2018-05-13,2018-11-01,5
3674,201811,IK042838,9,10.0,8.0,7.0,6.0,7.0,9.0,2018-04-04,2018-11-01,6
3675,201811,IK044135,4,4.0,4.0,6.0,7.0,8.0,8.0,2018-05-13,2018-11-01,5
3680,201811,IK056231,2,1.0,4.0,1.0,4.0,7.0,9.0,2018-05-01,2018-11-01,6
3683,201811,IK059828,5,3.0,5.0,4.0,4.0,6.0,5.0,2018-04-01,2018-11-01,7
3690,201811,IK082424,3,4.0,5.0,7.0,7.0,7.0,9.0,2018-04-14,2018-11-01,6
3718,201811,IK190403,7,2.0,5.0,3.0,4.0,8.0,8.0,2018-04-07,2018-11-01,6
3729,201811,IK234815,7,5.0,7.0,7.0,9.0,7.0,7.0,2018-05-12,2018-11-01,5
3739,201811,IK266585,8,11.0,11.0,8.0,8.0,9.0,7.0,2018-05-14,2018-11-01,5
3750,201811,IK311371,3,1.0,5.0,6.0,10.0,7.0,10.0,2018-05-12,2018-11-01,5
3762,201811,IK356680,8,10.0,9.0,9.0,8.0,10.0,11.0,2018-05-02,2018-11-01,5
3778,201811,IK403801,5,3.0,6.0,2.0,3.0,7.0,5.0,2018-04-05,2018-11-01,6
3780,201811,IK407687,1,3.0,3.0,3.0,7.0,7.0,6.0,2018-04-03,2018-11-01,6
3782,201811,IK429268,6,6.0,7.0,10.0,7.0,8.0,9.0,2018-04-06,2018-11-01,6
3799,201811,IK491887,5,2.0,3.0,5.0,6.0,7.0,7.0,2018-04-08,2018-11-01,6
3808,201811,IK528327,6,2.0,3.0,4.0,3.0,6.0,6.0,2018-04-01,2018-11-01,7
3826,201811,IK575241,3,4.0,4.0,6.0,5.0,6.0,5.0,2018-05-04,2018-11-01,5
3831,201811,IK584824,12,8.0,8.0,5.0,7.0,8.0,9.0,2018-04-08,2018-11-01,6
3838,201811,IK611614,9,8.0,8.0,7.0,7.0,7.0,11.0,2018-05-09,2018-11-01,5
3847,201811,IK624245,4,2.0,2.0,2.0,7.0,7.0,8.0,2018-05-13,2018-11-01,5
3851,201811,IK642724,7,5.0,3.0,2.0,9.0,8.0,9.0,2018-04-15,2018-11-01,6
3854,201811,IK654848,2,2.0,5.0,2.0,3.0,6.0,7.0,2018-04-04,2018-11-01,6
3856,201811,IK660380,5,7.0,1.0,5.0,6.0,7.0,7.0,2018-05-10,2018-11-01,5
3858,201811,IK661529,3,4.0,7.0,5.0,8.0,6.0,7.0,2018-04-01,2018-11-01,7
3863,201811,IK679682,1,6.0,3.0,4.0,5.0,5.0,7.0,2018-04-05,2018-11-01,6
3869,201811,IK697935,5,2.0,4.0,4.0,6.0,7.0,7.0,2018-04-09,2018-11-01,6
3874,201811,IK704656,8,6.0,8.0,8.0,8.0,9.0,6.0,2018-04-13,2018-11-01,6
3875,201811,IK710780,1,5.0,1.0,3.0,3.0,6.0,8.0,2018-05-09,2018-11-01,5
3876,201811,IK714626,1,5.0,4.0,4.0,6.0,6.0,8.0,2018-05-05,2018-11-01,5
3893,201811,IK761631,2,3.0,1.0,5.0,4.0,7.0,5.0,2018-04-13,2018-11-01,6
3897,201811,IK782104,5,6.0,8.0,4.0,5.0,7.0,9.0,2018-04-02,2018-11-01,6
3904,201811,IK802877,8,6.0,9.0,8.0,11.0,8.0,9.0,2018-05-04,2018-11-01,5
3918,201811,IK862574,2,5.0,5.0,5.0,8.0,8.0,6.0,2018-05-06,2018-11-01,5
3927,201811,IK881709,1,3.0,3.0,5.0,7.0,7.0,1.0,2018-04-01,2018-11-01,7
3933,201811,IK899587,2,1.0,6.0,6.0,8.0,5.0,9.0,2018-05-05,2018-11-01,5
3959,201811,IK988092,1,3.0,5.0,5.0,7.0,7.0,5.0,2018-04-11,2018-11-01,6
3967,201811,OA004129,8,6.0,9.0,8.0,8.0,8.0,10.0,2018-04-13,2018-11-01,6
3984,201811,OA057953,8,9.0,8.0,7.0,8.0,9.0,9.0,2018-04-08,2018-11-01,6
3985,201811,OA058104,7,8.0,7.0,10.0,6.0,9.0,11.0,2018-05-07,2018-11-01,5
3989,201811,OA068305,3,2.0,4.0,4.0,6.0,7.0,10.0,2018-05-11,2018-11-01,5
3997,201811,OA086620,9,8.0,8.0,11.0,7.0,11.0,9.0,2018-05-05,2018-11-01,5
4000,201811,OA100873,8,8.0,11.0,10.0,7.0,8.0,10.0,2018-05-10,2018-11-01,5
